,title,id,daily_sum,Normalized_daily_sum
2023-03-01,Ukraine,31750,19923,0.3247223405300921
2023-03-02,Ukraine,31750,19409,0.3163024604396684
2023-03-03,Ukraine,31750,18545,0.30214919896471515
2023-03-04,Ukraine,31750,18860,0.30730924221079187
2023-03-05,Ukraine,31750,18727,0.3051305572846706
2023-03-06,Ukraine,31750,19830,0.32319889919077416
2023-03-07,Ukraine,31750,19277,0.31414015660321726
2023-03-08,Ukraine,31750,18173,0.2960554336074436
2023-03-09,Ukraine,31750,19844,0.32342823444615537
2023-03-10,Ukraine,31750,18107,0.29497428168921797
2023-03-11,Ukraine,31750,16853,0.27443239524293156
2023-03-12,Ukraine,31750,17968,0.29269731022507617
2023-03-13,Ukraine,31750,17382,0.28309799167840644
2023-03-14,Ukraine,31750,17332,0.2822789371949022
2023-03-15,Ukraine,31750,17534,0.28558791730825933
2023-03-16,Ukraine,31750,17713,0.28852013235920454
2023-03-17,Ukraine,31750,18089,0.29467942207515646
2023-03-18,Ukraine,31750,16369,0.2665039478426105
2023-03-19,Ukraine,31750,17593,0.28655440159879436
2023-03-20,Ukraine,31750,17537,0.2856370605772696
2023-03-21,Ukraine,31750,16896,0.2751367820987452
2023-03-22,Ukraine,31750,16557,0.26958359270058646
2023-03-23,Ukraine,31750,16463,0.2680437702715985
2023-03-24,Ukraine,31750,15801,0.25719948891000227
2023-03-25,Ukraine,31750,15623,0.2542836549487272
2023-03-26,Ukraine,31750,17263,0.28114864200766637
2023-03-27,Ukraine,31750,16034,0.26101628280313205
2023-03-28,Ukraine,31750,15959,0.2597877010778757
2023-03-29,Ukraine,31750,15137,0.24632244536906595
2023-03-30,Ukraine,31750,15151,0.24655178062444713
2023-03-31,Ukraine,31750,16234,0.26429250073714905
2023-04-01,Ukraine,31750,13636,0.22173442977426858
2023-04-02,Ukraine,31750,14259,0.23193984863873146
2023-04-03,Ukraine,31750,15154,0.2466009238934574
2023-04-04,Ukraine,31750,14775,0.24039249090849524
2023-04-05,Ukraine,31750,12952,0.21052976443993054
2023-04-06,Ukraine,31750,12728,0.20686040035383155
2023-04-07,Ukraine,31750,12325,0.20025882121678734
2023-04-08,Ukraine,31750,12302,0.19988205615437538
2023-04-09,Ukraine,31750,12778,0.20767945483733577
2023-04-10,Ukraine,31750,12809,0.2081872686171084
2023-04-11,Ukraine,31750,12577,0.2043868558136487
2023-04-12,Ukraine,31750,12850,0.2088588932935819
2023-04-13,Ukraine,31750,12560,0.2041083772892573
2023-04-14,Ukraine,31750,12080,0.19624545424761655
2023-04-15,Ukraine,31750,11111,0.18037217835730432
2023-04-16,Ukraine,31750,12213,0.19842413917373783
2023-04-17,Ukraine,31750,12537,0.20373161222684533
2023-04-18,Ukraine,31750,12307,0.1999639616027258
2023-04-19,Ukraine,31750,12813,0.20825279297578875
2023-04-20,Ukraine,31750,14479,0.2355436883661501
2023-04-21,Ukraine,31750,14080,0.22900763358778625
2023-04-22,Ukraine,31750,13144,0.21367493365658682
2023-04-23,Ukraine,31750,14607,0.23764046784392098
2023-04-24,Ukraine,31750,16370,0.26652032893228056
2023-04-25,Ukraine,31750,15001,0.2440946171739344
2023-04-26,Ukraine,31750,15247,0.24812436523277528
2023-04-27,Ukraine,31750,14854,0.24168659699243195
2023-04-28,Ukraine,31750,14594,0.23742751367820988
2023-04-29,Ukraine,31750,14030,0.22818857910428203
2023-04-30,Ukraine,31750,15299,0.2489761818956197
2023-05-01,Ukraine,31750,18365,0.2992006028240999
2023-05-02,Ukraine,31750,15590,0.2537430789896144
2023-05-03,Ukraine,31750,16559,0.26961635487992663
2023-05-04,Ukraine,31750,16510,0.26881368148609247
2023-05-05,Ukraine,31750,16409,0.2671591914294139
2023-05-06,Ukraine,31750,14971,0.24360318448383186
2023-05-07,Ukraine,31750,14912,0.24263670019329686
2023-05-08,Ukraine,31750,16314,0.2656029879107558
2023-05-09,Ukraine,31750,16787,0.27335124332470595
2023-05-10,Ukraine,31750,16039,0.2610981882514825
2023-05-11,Ukraine,31750,17296,0.28168921796677915
2023-05-12,Ukraine,31750,16826,0.27399010582183925
2023-05-13,Ukraine,31750,19130,0.31173213642171477
2023-05-14,Ukraine,31750,18240,0.29715296661533924
2023-05-15,Ukraine,31750,18476,0.30101890377747925
2023-05-16,Ukraine,31750,17460,0.2843757166726731
2023-05-17,Ukraine,31750,16042,0.26114733152049274
2023-05-18,Ukraine,31750,15837,0.25778920813812534
2023-05-19,Ukraine,31750,15991,0.2603118959473184
2023-05-20,Ukraine,31750,16818,0.2738590571044786
2023-05-21,Ukraine,31750,20185,0.3290141860236543
2023-05-22,Ukraine,31750,19132,0.31176489860105494
2023-05-23,Ukraine,31750,19744,0.32179012547914687
2023-05-24,Ukraine,31750,20265,0.3303246731972611
2023-05-25,Ukraine,31750,17124,0.2788716705435246
2023-05-26,Ukraine,31750,15331,0.2495003767650624
2023-05-27,Ukraine,31750,15050,0.24489729056776857
2023-05-28,Ukraine,31750,19957,0.32527929757887497
2023-05-29,Ukraine,31750,16245,0.26447269272352
2023-05-30,Ukraine,31750,16128,0.26255610523212003
2023-05-31,Ukraine,31750,15806,0.25728139435835273
2023-06-01,Ukraine,31750,15967,0.2599187497952364
2023-06-02,Ukraine,31750,14206,0.23107165088621695
2023-06-03,Ukraine,31750,13908,0.22619008616453168
2023-06-04,Ukraine,31750,15563,0.2533007895685221
2023-06-05,Ukraine,31750,16914,0.27543164171280676
2023-06-06,Ukraine,31750,22285,0.36341447433083246
2023-06-07,Ukraine,31750,19359,0.3154834059561642
2023-06-08,Ukraine,31750,19245,0.31361596173377454
2023-06-09,Ukraine,31750,17251,0.28095206893162533
2023-06-10,Ukraine,31750,16172,0.2632768731776038
2023-06-11,Ukraine,31750,17845,0.29068243619565576
2023-06-12,Ukraine,31750,19213,0.3130917668643318
2023-06-13,Ukraine,31750,17316,0.2820168397601808
2023-06-14,Ukraine,31750,16076,0.26170428856927563
2023-06-15,Ukraine,31750,15564,0.2533171706581922
2023-06-16,Ukraine,31750,15734,0.2561019559021066
2023-06-17,Ukraine,31750,15173,0.246912164597189
2023-06-18,Ukraine,31750,15018,0.24437309569832585
2023-06-19,Ukraine,31750,16161,0.26309668119123286
2023-06-20,Ukraine,31750,15105,0.24579825049962323
2023-06-21,Ukraine,31750,15174,0.2469285456868591
2023-06-22,Ukraine,31750,13778,0.22406054450742063
2023-06-23,Ukraine,31750,13812,0.22461750155620352
2023-06-24,Ukraine,31750,24930,0.40674245650820695
2023-06-25,Ukraine,31750,19918,0.3246404350817416
2023-06-26,Ukraine,31750,18256,0.29741506405006063
2023-06-27,Ukraine,31750,17576,0.2862759230744029
2023-06-28,Ukraine,31750,16073,0.26165514530026535
2023-06-29,Ukraine,31750,15030,0.24456966877436687
2023-06-30,Ukraine,31750,13839,0.2250597909772958
2023-03-01,Ancient_Rome,521555,2982,0.04721030042918455
2023-03-02,Ancient_Rome,521555,2856,0.045146283130753855
2023-03-03,Ancient_Rome,521555,2746,0.04334436326704452
2023-03-04,Ancient_Rome,521555,2429,0.038151557841627624
2023-03-05,Ancient_Rome,521555,2560,0.04029748058840874
2023-03-06,Ancient_Rome,521555,3017,0.04778363856763752
2023-03-07,Ancient_Rome,521555,3079,0.04879926612718278
2023-03-08,Ancient_Rome,521555,2954,0.046751629918422175
2023-03-09,Ancient_Rome,521555,2978,0.04714477607050421
2023-03-10,Ancient_Rome,521555,2816,0.044491039543950464
2023-03-11,Ancient_Rome,521555,2468,0.038790420338760935
2023-03-12,Ancient_Rome,521555,2777,0.04385217704681715
2023-03-13,Ancient_Rome,521555,2866,0.04531009402745471
